Submit Time,Wait Time,Run Time,No. Allocated Processors,Requested Memory,Flavor
1/2/70 7:05 AM,51,3920,1,1024,1
1/2/70 7:06 AM,6,5897,1,6400,221
1/2/70 7:07 AM,3,32,1,3200,152
1/2/70 7:07 AM,33,105,1,11840,15
1/2/70 7:09 AM,8,914,1,16000,63
1/2/70 7:09 AM,3,971,4,8192,612
1/2/70 7:18 AM,6,421,1,1600,62
1/2/70 7:19 AM,3,936,2,9600,436
1/2/70 7:25 AM,7,4986,1,15040,49
1/2/70 7:29 AM,3,86,1,11840,15
1/2/70 7:30 AM,38,305,4,8192,612
1/2/70 7:33 AM,79,1440,10,32768,262
1/2/70 7:36 AM,6,5611,2,9600,436
1/2/70 7:38 AM,1209,187,10,32768,262
1/2/70 7:39 AM,5,2062,1,1024,1
1/2/70 7:41 AM,6,115,1,1024,1
1/2/70 7:43 AM,5,93,1,1024,1
1/2/70 7:46 AM,10,2273,1,3200,152
1/2/70 7:46 AM,4,6205,4,2400,520
1/2/70 7:48 AM,8,1989,1,1920,82
1/2/70 7:50 AM,12,180,1,1024,1
1/2/70 7:51 AM,3,2378,4,6800,596
1/2/70 7:53 AM,6,47,1,1600,62
1/2/70 8:01 AM,4,2807,4,5904,583
1/2/70 8:03 AM,4,146,1,8192,244
1/2/70 8:04 AM,4,415,8,32768,623
1/2/70 8:06 AM,3,6816,4,8192,612
1/2/70 8:06 AM,4,8014,4,3424,545
1/2/70 8:10 AM,5,72,1,8192,244
1/2/70 8:11 AM,4,11955,10,16384,261
1/2/70 8:13 AM,7,376,1,3200,152
1/2/70 8:15 AM,9,961,1,1024,1
1/2/70 8:18 AM,4,26,2,11808,284
1/2/70 8:19 AM,4,3289,1,1024,1
1/2/70 8:19 AM,13250,376,4,32768,541
1/2/70 8:21 AM,8,49,1,3200,152
1/2/70 8:22 AM,6,21,1,3200,152
1/2/70 8:28 AM,8,5909,1,1024,1
1/2/70 8:30 AM,3,4992,2,4000,370
1/2/70 8:31 AM,3,3535,2,1024,266
1/2/70 8:33 AM,5,2607,1,8192,244
1/2/70 8:41 AM,9,28,1,3200,152
1/2/70 8:44 AM,7,45,1,3200,152
1/2/70 8:45 AM,11,7592,1,16384,66
1/2/70 8:46 AM,6,175,1,3200,152
1/2/70 8:49 AM,5,4674,1,1024,1
1/2/70 8:50 AM,5,64,1,3200,152
1/2/70 8:50 AM,5,2406,1,12800,25
1/2/70 8:51 AM,15,22,1,3200,152
1/2/70 8:57 AM,10,35,2,11808,284
1/2/70 9:00 AM,6,78,1,11840,15
1/2/70 9:02 AM,6,7818,1,1024,1
1/2/70 9:07 AM,4,670,8,32768,623
1/2/70 9:08 AM,7,3955,1,1024,1
1/2/70 9:10 AM,17,119,1,8192,244
1/2/70 9:12 AM,14,8408,1,8192,244
1/2/70 9:13 AM,7,2300,1,4096,176
1/2/70 9:14 AM,51,354,1,8192,244
1/2/70 9:15 AM,5,200,1,2048,89
1/2/70 9:16 AM,94,4881,8,32768,623
1/2/70 9:17 AM,15518,3785,8,32768,623
1/2/70 9:17 AM,13,34,2,11808,284
1/2/70 9:19 AM,5,1227,1,1024,1
1/2/70 9:21 AM,5,5511,2,9600,436
1/2/70 9:30 AM,66,67,1,11840,15
1/2/70 9:30 AM,6,894,1,6400,221
1/2/70 9:32 AM,9,35,1,6400,221
1/2/70 9:33 AM,9,722,1,6400,221
1/2/70 9:34 AM,4,86,1,11840,15
1/2/70 9:35 AM,35,36,2,11808,284
1/2/70 9:38 AM,8,172,1,2400,108
1/2/70 9:43 AM,5,77,1,11840,15
1/2/70 9:45 AM,6,839,1,12800,25
1/2/70 9:54 AM,9,175,2,11808,284
1/2/70 10:08 AM,12,1319,1,2400,108
1/2/70 10:13 AM,5,4583,2,3200,358
1/2/70 10:24 AM,12,2369,1,4096,176
1/2/70 10:30 AM,9,327,1,6400,221
1/2/70 10:30 AM,6,251,1,6400,221
1/2/70 10:31 AM,4,154,1,14400,44
1/2/70 10:51 AM,12,5329,1,16384,66
1/2/70 10:53 AM,5,121,1,14400,44
1/2/70 10:58 AM,6,1950,1,8192,244
1/2/70 10:58 AM,137,670,1,8192,244
1/2/70 11:03 AM,14,179,1,14400,44
1/2/70 11:06 AM,8,4647,2,9600,436
1/2/70 11:12 AM,5,1011,1,8192,244
1/2/70 11:30 AM,14,7519,8,32768,623
1/2/70 11:55 AM,9,49,1,1024,1
1/2/70 12:00 PM,3,544,2,9600,436
1/2/70 12:10 PM,3,129,2,9600,436
1/2/70 12:10 PM,4,10180,1,12800,25
1/2/70 12:12 PM,4,1251,2,9600,436
1/2/70 12:20 PM,4,6331,1,16384,66
1/2/70 12:27 PM,3,7216,2,9600,436
1/2/70 12:42 PM,7,5617,2,4000,370
1/2/70 1:16 PM,5,2188,1,4096,176
1/2/70 1:35 PM,15,13626,10,32768,262
1/2/70 2:06 PM,3222,4182,1,16384,66
1/2/70 3:00 PM,14,6368,2,9600,436
1/2/70 3:07 PM,3,3453,2,1024,266
1/2/70 4:02 PM,160758,407,4,32768,541
1/2/70 4:05 PM,4,992,2,11808,284
1/2/70 4:10 PM,9,4148,1,16384,66
1/2/70 4:44 PM,9,3443,2,11808,284
1/2/70 5:09 PM,6,2095,2,11808,284
1/2/70 5:19 PM,4,4181,1,16384,66
1/2/70 5:23 PM,8,7499,8,32768,623
1/2/70 5:43 PM,33470,3984,4,5904,583
1/2/70 5:48 PM,33142,12707,4,5904,583
1/2/70 6:29 PM,5,2870,1,16384,66
1/2/70 7:17 PM,9,69,1,16384,66
1/2/70 7:18 PM,4,66,1,16384,66
1/2/70 7:19 PM,4,65,1,16384,66
1/2/70 7:20 PM,4,65,1,16384,66
1/2/70 7:21 PM,4,65,1,16384,66
1/2/70 7:23 PM,4,64,1,16384,66
1/2/70 7:24 PM,3,65,1,16384,66
1/2/70 7:25 PM,3,66,1,16384,66
1/2/70 7:26 PM,3,69,1,16384,66
1/2/70 7:27 PM,4,71,1,16384,66
1/2/70 7:28 PM,7,11843,10,32768,262
1/2/70 7:29 PM,4,65,1,16384,66
1/2/70 7:30 PM,4,67,1,16384,66
1/2/70 7:31 PM,4,68,1,16384,66
1/2/70 7:32 PM,3,70,1,16384,66
1/2/70 7:49 PM,5,81,1,16384,66
1/2/70 7:50 PM,3,68,1,16384,66
1/2/70 7:51 PM,4,67,1,16384,66
1/2/70 7:52 PM,3,66,1,16384,66
1/2/70 7:54 PM,4,65,1,16384,66
1/2/70 7:55 PM,4,64,1,16384,66
1/2/70 7:56 PM,3,67,1,16384,66
1/2/70 7:57 PM,4,66,1,16384,66
1/2/70 7:58 PM,5,66,1,16384,66
1/2/70 8:00 PM,3,65,1,16384,66
1/2/70 8:01 PM,4,66,1,16384,66
1/2/70 8:02 PM,4,66,1,16384,66
1/2/70 8:03 PM,4,66,1,16384,66
1/2/70 8:04 PM,3,64,1,16384,66
1/2/70 8:06 PM,4,63,1,16384,66
1/2/70 8:07 PM,5,64,1,16384,66
1/2/70 8:08 PM,4,67,1,16384,66
1/2/70 8:09 PM,4,66,1,16384,66
